,wav_filename,wav_filesize,transcript,common_part,region,duration,duration_seconds,filename,chirp_wer,Deepgram_wer,googleSTT_wer,whisper_wer,seamless_wer
0,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400534(018).wav,472044,en uh voor het overige ja uh pff hebben we dan toen we in de provence waren orange nmes en dergelijke bezocht,400534,oost_vlaams,0 days 00:00:06,6.0,fv400534(018),0.22727272727272727,0.5454545454545454,0.4090909090909091,0.45454545454545453,0.22727272727272727
1,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400759(054).wav,549100,en dat was dus echt ja gemiddeld uhm n dag tussen anderhalve dag tussen tussen 't n examen en 't ander examen en wel ik kan u garanderen dat dat toch wel een vrij,400759,vlaams_brab,0 days 00:00:06,6.0,fv400759(054),0.29411764705882354,0.5,0.35294117647058826,0.5294117647058824,0.4411764705882353
2,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400181(116).wav,307692,ah ja uhm,400181,vlaams_brab,0 days 00:00:06,6.0,fv400181(116),0.6666666666666666,1.0,1.0,1.0,1.0
3,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400077(091).wav,482860,ja maar als als je als je daar nu op op terugkijkt dan dan dan denk ik dus soms van ik word ik word oud,400077,vlaams_brab,0 days 00:00:06,6.0,fv400077(091),0.2,0.28,0.24,0.56,0.52
4,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400779(037).wav,321132,maar ja maarten schrijft soms papers van veertig pagina's in twee dagen,400779,west_vlaams,0 days 00:00:06,6.0,fv400779(037),0.16666666666666666,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5
5,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400254(093).wav,807916,ja 'k weet het ook niet en nu valt er een moment stilte,400254,oost_vlaams,0 days 00:00:06,6.0,fv400254(093),0.07692307692307693,0.38461538461538464,0.6923076923076923,0.38461538461538464,0.38461538461538464
6,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400794(019).wav,306156,en dan de scarabee ik vond die mooi eigenlijk,400794,oost_vlaams,0 days 00:00:06,6.0,fv400794(019),0.2222222222222222,1.0,0.2222222222222222,0.6666666666666666,0.5555555555555556
7,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400248(111).wav,274924,want anders eens dat ge uw rapport hebt uh dan luistert er gene halven niet meer naar mij,400248,oost_vlaams,0 days 00:00:06,6.0,fv400248(111),0.3888888888888889,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.7777777777777778
8,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400778(038).wav,678060,uhu en dan is de vraag natuurlijk maar dat had franois gelukkig nog niet verklapt uh ja in welke mate dat dat dan een spel is of dat z'n broer hem erin geluisd heeft of niet,400778,west_vlaams,0 days 00:00:06,6.0,fv400778(038),0.25,0.2777777777777778,0.5,0.3888888888888889,0.5277777777777778
9,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400287(034).wav,319404,ja tot op zekere hoogte dus dat is aan details dat er moet gesleuteld worden,400287,vlaams_brab,0 days 00:00:06,6.0,fv400287(034),0.06666666666666667,0.26666666666666666,0.2,0.4666666666666667,0.4
