wav_filename,wav_filesize,transcript
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400534(018).wav,472044,en uh voor het overige ja uh pff hebben we dan toen we in de provence waren orange nmes en dergelijke bezocht
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400759(054).wav,549100,en dat was dus echt ja gemiddeld uhm n dag tussen anderhalve dag tussen tussen 't n examen en 't ander examen en wel ik kan u garanderen dat dat toch wel een vrij
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400181(116).wav,307692,ah ja uhm
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400077(091).wav,482860,ja maar als als je als je daar nu op op terugkijkt dan dan dan denk ik dus soms van ik word ik word oud
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400779(037).wav,321132,maar ja maarten schrijft soms papers van veertig pagina's in twee dagen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400254(093).wav,807916,ja 'k weet het ook niet en nu valt er een moment stilte
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400794(019).wav,306156,en dan de scarabee ik vond die mooi eigenlijk
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400248(111).wav,274924,want anders eens dat ge uw rapport hebt uh dan luistert er gene halven niet meer naar mij
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400778(038).wav,678060,uhu en dan is de vraag natuurlijk maar dat had franois gelukkig nog niet verklapt uh ja in welke mate dat dat dan een spel is of dat z'n broer hem erin geluisd heeft of niet
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400287(034).wav,319404,ja tot op zekere hoogte dus dat is aan details dat er moet gesleuteld worden
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400816(044).wav,519532,ja uhm en ja niet dat dat echt een probleem was maar soms soms merkt de ge dat toch evenzeer of voelt de ge dat
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400237(130).wav,415788,'t moet snel gaan en dan heel de avonturen van haar tocht
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400064(100).wav,257964,vertel nog 'ns wat 'k weet eigenlijk niks meer
