wav_filename,wav_filesize,transcript
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701073(065).wav,90924,ongelofelijk op grond van de keren dat ze in het verleden hebben plaats gevat ja ja ja maar dat begrijp 'k wel
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901015(106).wav,68604,ja maar ik heb explorer ja ik heb dat toch al gekund hier
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700061(059).wav,172204,zo met haar hoofd in ha in haar in haar uhm uh met haar handen in haar hoofd
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008305(028).wav,66940,en dan uh ergens midden in de nacht hier komen ok
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006810(026).wav,158988,daar waren wij nog wel benieuwd g naar hoe dat gegaan was oh ik heb eigenlijk geen idee
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv900034(024).wav,418412,uh uit het verhaal dat door beide partijen werd opgenomen blijkt dat het huwelijk van uh partijen door de jaren heen al talr-rijke dieptepunten heeft gekend met een paar uh kortstondige scheidingen en zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701222(011).wav,100876,voordat 'k niet meer kan ggg want 't is hoognodig want d'r uh staat daar alweer een vijsje los
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700178(041).wav,164204,ge zijt ah ja da 's waar ge zijt de eerste week ook al weg ja maandag en dinsdag niet
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008335(034).wav,111836,mm-hu dus die ontmoet ik in amsterdam en aanvankelijk zou ineke mee maar dat doet ze xxx dus nu niet
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008242(094).wav,67340,die doet ze 's avonds in de wasmachine en in de droger en de volgende dag doet ze ze weer aan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv900001(018).wav,170252,dus dat is een meerprijs van uh een g eenentwintigduizend twintigduizend
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006927(083).wav,135308,die schoudervulling blijft zo op z'n plaats zitten jawel maar de blouse schuift toch nog
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006821(069).wav,262188,en dan houdt 't op ja op een gegeven moment hoor ja ik heb 't met uh m'n zus die had 't ook op een gegeven moment ik vroeg van aan haar zo van ja als je kinderen krijgt gl ga je die dopen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701144(091).wav,69484,'k heb gewoon gezegd mevrouw zeg ik geef geen zestigduizend frank om te kuisen zuh
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700185(037).wav,171404,ja dat n dat is n maar als ge alleen vanachter remt dan uh ggg slipt dat ding
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701153(074).wav,130924,ja ja enfin dus uhm ik ben benieuwd wat dat netto gaat opleveren nu ik drie uur meer
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006906(004).wav,217324,ik kon 't ook goed verstaan en uhm uh 't waren twee uh ja beetje ja leuke jongens waren 't wel
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701142(010).wav,73004,echt da 's niet om aan te zien da da 's da 's ja d eigenlijk moet hij naar den dokter maar
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008252(082).wav,182316,ja dan is dan dan is 't inderdaad een beetje dubbelop maar 't rare xxx wel voor dat dat je dat je als relatiebeheerder dan heel erg op de zijlijn staat en uit de tweede of derde of vierde hand informatie krijgt
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn007025(078).wav,129452,dat lust ik niet nou lust ik niet nee wat wil gij later dan eten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008249(070).wav,95052,ja en alle vaktijdschriften ja nou als dat een beetje oplevert dan is 't natuurlijk helemaal uh kat in 't bakkie
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008031(103).wav,110332,maar daar stappen allemaal van die figuren in m 't zijn meestal jongeren zo g zo uh tussen de tien en twintig of zo ggg
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006902(035).wav,148524,ja maar je zit in twee huisjes en dat is gewoon een nadeel hoezo dan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008148(064).wav,122284,en uh dick marieke en martijn die hadden met z'n drien n stukje chocoladetaart en wij hadden zo'n groot ding met sterretjes d'rop en zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006896(034).wav,176172,eigenlijk ja dat snap ik ja want toen was 't echt uh halleluja bij wijze van
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006846(009).wav,156908,nee maar misschien wordt 't wel wat meer nadat je wat rustigere sporten moet beoefenen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn007024(032).wav,172556,ja jij was ook behoorlijk doorheen uh op 't laatst geloof ik ja ik had 't wel een beetje gehad
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008346(042).wav,94764,dus dan zou d'r een tweede team moeten komen ja klopt nou kijk en als we dat in januari van start kunnen krijgen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006995(036).wav,148556,ja leuk voor ze ja ik ik had echt zoiets van ok uh mm-hu
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008042(043).wav,103260,nou je ik vond 't op zich wel aardig dat ie zei van nee nou ja hij wou jou gewoon effe bellen wa om-uh-dat je d'r toch ook een beetje bij betrokken was of zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008079(046).wav,84028,oh ja had uh tine ook nog verteld dat uh dat haar ouwe huis te koop staat ja dat wist ik al van christine
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901052(077).wav,98284,wie onderhoudt bij u eigenlijk de pc ge bedoelt bij ons thuis
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901056(052).wav,77484,uh want soms wordt d' inderdaad wel zo vier jaar aan uw lot overgelaten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700179(054).wav,180428,of moet ik tot bij u komen daar dat kunt ge ook ja zeg maar pakt dan photoshop xxx ook
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008126(026).wav,131020,d'r moeten uh of je moet naar oma gaan of zo maar ja daar kan ook in 't weekend ja d'r moeten uh hier in huis ook zo langzamerhand wel een aantal klusjes gedaan worden
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901053(008).wav,224588,en zijt ge op zoek naar iets specifiek want ge weet dat er eigenlijk toch wel twee brede categorien zijn ge hebt het eigenlijke kot het echte kotleven dat ge bij privhuizen vindt en ge hebt daarnaast
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006717(086).wav,361068,nou 'k heb dus uh via lilian 't telefoonnummer gekregen van uh de ja de beste in nederland en dat is de rugkliniek westhovens in uhm ja dat ligt vlak bij roermond susteren
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700073(018).wav,177644,enkel oh wacht w is dat nu iets van of is 't heen en
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008110(065).wav,104844,ja sowieso uh lijkt me wel leuk om daar even heen te gaan ja want wij gaan volgend weekend weekendje weg want volgende week wordt er dus ook niet gespeeld
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701154(048).wav,72204,uhm maar ik vermoed dat gijlen toch ook hout wilt voor de open haard
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701145(008).wav,91404,dus die was al keilang dood ja want uh ze kunnen d'r niet bijkomen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701026(060).wav,72044,en 't is daar en uh vanavond is het disconight
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701073(026).wav,76524,uh dinsdag overdag bij mijn weten heb 'k persyn heb 'k leen persyn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901015(111).wav,67212,uhu ok ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008094(083).wav,86620,nou dus uh nou ja dat dat is 't eigenlijk en wat kan ik nog vertellen over hier
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006843(043).wav,153548,weet ik niet is nog dicht heeft desnie zelf gemaakt ggg op 't schooltje oh wat leuk
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008060(032).wav,67084,en daar baalden wij een beetje van want het is eerst nog een half uur rijden ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008329(086).wav,99164,en uh toen zei ie oh ja nou ja goed misschien ga 'k dan wel iemand anders zoeken en zo maar uh nou ja een beetje moeilijk
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006936(030).wav,613516,en toen kwam ie uit 't kamp en dat was uh achtenveertig en als 't voor achtenveertig uh uh nog in in dienst kwamen dan werden al die tijd vanaf dat ze van de uh s uh kweek kwamen werden dan meegeteld voor later voor 't pensioen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901055(063).wav,108204,ah dus da 's altijd ah ja tegenwoordig doen we dat alleen nog maar als we op reis zijn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701203(074).wav,99052,maar dat wordt nog niet zo rap boos of zo maar ja als dat hem als dat bang we als dat zich bang voelt ah ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006819(015).wav,268140,waarom werkt de nhs niet ja moeten ze dat niet gewoon in uh in de house of commons uh vragen in plaats van op n of ander praatprogramma
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700023(003).wav,242604,uh maar dat van christel daar kon 'k niet goed aan uit hoe dat daar stond dan iets van dus dus een koffietje en gebak of zoiet
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701013(041).wav,96076,ja 'k die rijdt de over en dan onmiddellijk rechts langs 't water weg onmiddellijk rechts langs 't water weg ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008082(077).wav,109484,'k zei nee maar wij vinden 't leuk ggg maar toen zei die van ja hij kon ook niet voor zo lang vooruit afspreken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701205(011).wav,75852,oh uhm een ajuintje doe jij daar een ajuintje in xxx spruiten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006779(006).wav,202604,ja hebben ze hebben ze er noodbouten ingezet is franois ook helemaal vergeten om daar nieuwe voor te laten bestellen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901196(092).wav,164268,uh ja ze hebben den een stoof laten staan een uhm allee een gewoon fornuis eigenlijk met elektrische kookplaten die we natuurlijk wel goed kunnen gebruiken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006713(021).wav,253260,dus ik had ook zoiets van nou dan schuiven we 't gewoon een weekje op en dan uh zorgen we gewoon dat we met 't uh met uh met wanneer 't opent uh dat we dan al daar zijn
